period,definition,total_heatwave_days,percentage_days,avg_temp
1980-1989,Standard,193.0,5.297831457589899,28.408552321992413
1980-1989,Moderate,315.0,8.646719736480922,27.84911741226441
1980-1989,Severe,63.0,1.7293439472961845,29.34238271561881
1990-1999,Standard,239.0,6.56232839099396,28.736263220878847
1990-1999,Moderate,396.0,10.873146622734762,28.183423075049838
1990-1999,Severe,69.0,1.8945634266886324,29.70499351612038
2000-2009,Standard,210.0,5.764479824320615,28.858427865164643
2000-2009,Moderate,366.0,10.046664836673072,28.206213137100324
2000-2009,Severe,77.0,2.1136426022508923,29.730359203784513
2010-2019,Standard,283.0,7.770455793520044,30.529556209712506
2010-2019,Moderate,444.0,12.191103789126853,29.82556583301443
2010-2019,Severe,79.0,2.1691378363536518,31.938395130785217
2020-2024,Standard,123.0,6.750823271130625,30.318009142371718
2020-2024,Moderate,214.0,11.745334796926453,29.488185732832598
2020-2024,Severe,37.0,2.030735455543359,31.614256657780835
